,city
970,    L'Alpe-d'Huez 
971,    Morzine 
972,    Saint-Priest 
973,    Sens 
974,    Fontenay-sous-Bois 
975,    Basel 
976,    Basel 
977,    Basel 
978,    Basel 
979,    Basel 
980,    Basel 
981,    Nice 
982,    Nice 
983,    Nice 
984,    Nice 
985,    Martigues 
986,    Narbonne 
987,    Saint-Gaudens 
988,    Nay 
989,    Pau 
990,    Rochefort 
991,    Nantes 
992,    Le Mans 
993,    Compiègne 
994,    Roubaix 
995,    Brussel/Bruxelles 
996,    Beringen 
997,    Mulhouse 
998,    Besançon 
999,    Thonon-les-Bains 
1000,    Morzine 
1001,    Le Bourg-d'Oisans 
1002,    Veurey-Voroize 
1003,    Saint-Priest 
1004,    Auxerre 
1005,    Fontenay-sous-Bois 
1006,    Nice 
1007,    Nice 
1008,    Nice 
1009,    Nice 
1010,
1011,
1012,    Wiesbaden 
1013,
1014,    Metz 
1015,    Spa 
1016,    Luik 
1017,    Lille 
1018,    Compiègne 
1019,    Beauvais 
1020,    Flers 
1021,    Saint-Malo 
1022,    Rochefort 
1023,    Damazan 
1024,    Agen 
1025,    Pau 
1026,    Lézignan-Corbières 
1027,    Montpellier 
1028,    Trets 
1029,    Briançon 
1030,    Morzine 
1031,    Voreppe 
1032,    Saint-Etienne 
1033,    Auxerre 
1034,    Fontenay-sous-Bois 
1035,
1036,
1037,    Frankfurt am Main 
1038,
1039,    Fleurance 
1040,    Fleurance 
1041,    Luchon 
1042,    Luchon 
1043,    Captieux 
1044,    Neuville 
1045,    Angers 
1046,    Saint-Hilaire-du-Harcouët 
1047,    Deauville 
1048,    Amiens 
1049,    Roubaix 
1050,    Brussel/Bruxelles 
1051,    Rochefort 
1052,    Metz 
1053,    Belfort 
1054,    Évian 
1055,    Morzine 
1056,    Les Menuires 
1057,    L'Alpe-d'Huez 
1058,    L'Alpe-d'Huez 
1059,    Saint-Priest 
1060,    Dijon 
1061,    Dijon 
1062,    Auxerre 
1063,    Le Perreux-Sur-Marne 
1064,    Fleurance 
1065,    Fleurance 
1066,    Fleurance 
1067,    Fleurance 
1068,    Leiden 
1069,    Leiden 
1070,    Sint Willebrord 
1071,    Brussel/Bruxelles 
1072,    Saint-Amand-les-Eaux 
1073,    Évreux 
1074,    Caen 
1075,    Mazé 
1076,    Poitiers 
1077,    Saint-Émilion 
1078,    Bordeaux 
1079,    Biarritz 
1080,    Pau 
1081,    Tarbes 
1082,    Valence-d'Agen 
1083,    Figeac 
1084,    Besse-en-Chandesse 
1085,    Saint-Dier-d'Auvergne 
1086,    Saint-Étienne 
1087,    Grenoble 
1088,    Morzine 
1089,    Lausanne 
1090,    Metz 
1091,    Epernay 
1092,    Saint-Germain-en-Laye 
1093,    Leiden 
1094,    Leiden 
1095,    Leiden 
1096,    Leiden 
1097,    Fleurance 
1098,    Fleurance 
1099,    Auch 
1100,    Oloron-Sainte-Marie 
1101,    Vitoria 
1102,    Morcenx 
1103,    Bordeaux 
1104,    Bordeaux 
1105,    Jaunay-Clan 
1106,    Angers 
1107,    Angers 
1108,    Lorient 
1109,    Bagnoles-de-l'Orne 
1110,    Rouen 
1111,    Roubaix 
1112,    Freiburg im Breisgau 
1113,    Altkirch 
1114,    Besançon 
1115,    Thonon-les-Bains 
1116,    Morzine 
1117,    Morzine 
1118,    Chamonix 
1119,    Rossignol 
1120,    Saint-Trivier 
1121,    Dijon 
1122,    Montereau 
1123,    Paris 
