0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Samuel,Family name:,Sánchez González,Nationality:,Spain ,Gender:, ,Age:,41  years,,,,
,Name:,Thor,Family name:,Hushovd,Nationality:,Norway ,Gender:, ,Age:,41  years,,,,
,Name:,Jelle,Family name:,Vanendert,Nationality:,Belgium ,Gender:, ,Age:,34  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Thor,Family name:,Hushovd,Nationality:,Norway ,Gender:, ,Age:,41  years,,,,
,Name:,Edvald,Family name:,Boasson Hagen,Nationality:,Norway ,Gender:, ,Age:,32  years,,,,
,Name:,Andy,Family name:,Schleck,Nationality:,Luxemburg ,Gender:, ,Age:,34  years,,,,
,Name:,Pierre,Family name:,Rolland,Nationality:,France ,Gender:, ,Age:,32  years,,,,
,Name:,Tony,Family name:,Martin,Nationality:,Germany ,Gender:, ,Age:,34  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Samuel,Family name:,Sánchez González,Nationality:,Spain ,Gender:, ,Age:,41  years,,,,
,Name:,Cadel,Family name:,Evans,Nationality:,Australia ,Gender:, ,Age:,42  years,,,,
,Name:,Pierre,Family name:,Rolland,Nationality:,France ,Gender:, ,Age:,32  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Fabian,Family name:,Cancellara,Nationality:,Switzerland ,Gender:, ,Age:,38  years,,,,
,Name:,Alessandro,Family name:,Petacchi,Nationality:,Italy ,Gender:, ,Age:,45  years,,,,
,Name:,Sylvain,Family name:,Chavanel,Nationality:,France ,Gender:, ,Age:,40  years,,,,
,Name:,Thor,Family name:,Hushovd,Nationality:,Norway ,Gender:, ,Age:,41  years,,,,
,Name:,Alessandro,Family name:,Petacchi,Nationality:,Italy ,Gender:, ,Age:,45  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Sylvain,Family name:,Chavanel,Nationality:,France ,Gender:, ,Age:,40  years,,,,
,Name:,Andy,Family name:,Schleck,Nationality:,Luxemburg ,Gender:, ,Age:,34  years,,,,
,Name:,Sandy,Family name:,Casar,Nationality:,France ,Gender:, ,Age:,40  years,,,,
,Name:,Sérgio Miguel,Family name:,Moreira Paulinho,Nationality:,Portugal ,Gender:, ,Age:,39  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Joaquim,Family name:,Rodríguez Oliver,Nationality:,Spain ,Gender:, ,Age:,40  years,,,,
,Name:,Alexandre,Family name:,Vinokourov,Nationality:,Kazakhstan ,Gender:, ,Age:,45  years,,,,
,Name:,Christophe,Family name:,Riblon,Nationality:,France ,Gender:, ,Age:,38  years,,,,
,Name:,Thomas,Family name:,Voeckler,Nationality:,France ,Gender:, ,Age:,40  years,,,,
,Name:,Pierrick,Family name:,Fédrigo,Nationality:,France ,Gender:, ,Age:,40  years,,,,
,Name:,Andy,Family name:,Schleck,Nationality:,Luxemburg ,Gender:, ,Age:,34  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Fabian,Family name:,Cancellara,Nationality:,Switzerland ,Gender:, ,Age:,38  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Alberto,Family name:,Contador Velasco,Nationality:,Spain ,Gender:, ,Age:,36  years,,,,
,Name:,Andy,Family name:,Schleck,Nationality:,Luxemburg ,Gender:, ,Age:,34  years,,,,
,Name:,Alessandro,Family name:,Petacchi,Nationality:,Italy ,Gender:, ,Age:,45  years,,,,
,Name:,Anthony,Family name:,Charteau,Nationality:,France ,Gender:, ,Age:,40  years,,,,
,Name:,Fabian,Family name:,Cancellara,Nationality:,Switzerland ,Gender:, ,Age:,38  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,X,Family name:,X,Nationality:,Unknown ,Gender:, ,,,,,,
,Name:,Thomas,Family name:,Voeckler,Nationality:,France ,Gender:, ,Age:,40  years,,,,
