,Departure,Arrival
2003,"    Belfort (Franche-Comte), France ","Lons-le-Saunier (Franche-Comte), France"
2004,"    Lons-le-Saunier (Franche-Comte), France ","Champagnole (Franche-Comte), France"
2005,"    Champagnole (Franche-Comte), France ","Genève (Geneve), Switzerland"
2006,"    Genève (Geneve), Switzerland ","Aix-les-Bains (Rhone-Alpes), France"
2007,"    Aix-les-Bains (Rhone-Alpes), France ","Grenoble (Rhone-Alpes), France"
2008,"    Grenoble (Rhone-Alpes), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
2009,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Digne (Provence-Alpes-Cote d'Azur), France"
2010,"    Digne (Provence-Alpes-Cote d'Azur), France ","Nice (Provence-Alpes-Cote d'Azur), France"
2011,"    Nice (Provence-Alpes-Cote d'Azur), France ","Toulon (Champagne-Ardenne), France"
2012,"    Toulon (Champagne-Ardenne), France ","Marseille (Provence-Alpes-Cote d'Azur), France"
2013,"    Marseille (Provence-Alpes-Cote d'Azur), France ","Nîmes (Languedoc-Roussillon), France"
2014,"    Nîmes (Languedoc-Roussillon), France ","Montpellier (Languedoc-Roussillon), France"
2015,"    Montpellier (Languedoc-Roussillon), France ","Narbonne (Languedoc-Roussillon), France"
2016,"    Narbonne (Languedoc-Roussillon), France ","Perpignan (Languedoc-Roussillon), France"
2017,"    Perpignan (Languedoc-Roussillon), France ","Bourg-Madame (Languedoc-Roussillon), France"
2018,"    Bourg-Madame (Languedoc-Roussillon), France ","Ax-les-Thermes (Midi-Pyrenees), France"
2019,"    Ax-les-Thermes (Midi-Pyrenees), France ","Luchon (Midi-Pyrenees), France"
2020,"    Luchon (Midi-Pyrenees), France ","Pau (Aquitaine), France"
2021,"    Pau (Aquitaine), France ","Bordeaux (Aquitaine), France"
2022,"    Bordeaux (Aquitaine), France ","Royan (Poitou-Charentes), France"
2023,"    Royan (Poitou-Charentes), France ","Saintes (Poitou-Charentes), France"
2024,"    Saintes (Poitou-Charentes), France ","La Rochelle (Poitou-Charentes), France"
2025,"    La Rochelle (Poitou-Charentes), France ","La Roche-sur-Yon (Pays de la Loire), France"
2026,"    La Roche-sur-Yon (Pays de la Loire), France ","Rennes (Bretagne), France"
2027,"    Rennes (Bretagne), France ","Vire (Basse-Normandie), France"
2028,"    Vire (Basse-Normandie), France ","Caen (Basse-Normandie), France"
2029,"    Caen (Basse-Normandie), France ","Paris (Ile-de-France), France"
2030,,"Paris (Ile-de-France), France"
2031,,"Paris (Ile-de-France), France"
2032,"    Paris (Ile-de-France), France ","Lille (Nord-Pas-de-Calais), France"
2033,"    Lille (Nord-Pas-de-Calais), France ","Charleville (Champagne-Ardenne), France"
2034,"    Charleville (Champagne-Ardenne), France ","Metz (Lorraine), France"
2035,"    Metz (Lorraine), France ","Belfort (Franche-Comte), France"
2036,"    Belfort (Franche-Comte), France ","Évian (Rhone-Alpes), France"
2037,"    Évian (Rhone-Alpes), France ","Aix-les-Bains (Rhone-Alpes), France"
2038,"    Aix-les-Bains (Rhone-Alpes), France ","Grenoble (Rhone-Alpes), France"
2039,"    Grenoble (Rhone-Alpes), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
2040,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Digne (Provence-Alpes-Cote d'Azur), France"
2041,"    Digne (Provence-Alpes-Cote d'Azur), France ","Nice (Provence-Alpes-Cote d'Azur), France"
2042,"    Nice (Provence-Alpes-Cote d'Azur), France ","Cannes (Provence-Alpes-Cote d'Azur), France"
2043,"    Cannes (Provence-Alpes-Cote d'Azur), France ","Marseille (Provence-Alpes-Cote d'Azur), France"
2044,"    Marseille (Provence-Alpes-Cote d'Azur), France ","Nîmes (Languedoc-Roussillon), France"
2045,"    Nîmes (Languedoc-Roussillon), France ","Montpellier (Languedoc-Roussillon), France"
2046,"    Montpellier (Languedoc-Roussillon), France ","Narbonne (Languedoc-Roussillon), France"
2047,"    Narbonne (Languedoc-Roussillon), France ","Perpignan (Languedoc-Roussillon), France"
2048,"    Perpignan (Languedoc-Roussillon), France ","Luchon (Midi-Pyrenees), France"
2049,"    Luchon (Midi-Pyrenees), France ","Pau (Aquitaine), France"
2050,"    Pau (Aquitaine), France ","Bordeaux (Aquitaine), France"
2051,"    Bordeaux (Aquitaine), France ","Saintes (Poitou-Charentes), France"
2052,"    Saintes (Poitou-Charentes), France ","La Rochelle (Poitou-Charentes), France"
2053,"    La Rochelle (Poitou-Charentes), France ","La Roche-sur-Yon (Pays de la Loire), France"
2054,"    La Roche-sur-Yon (Pays de la Loire), France ","Cholet (Pays de la Loire), France"
2055,"    Cholet (Pays de la Loire), France ","Angers (Pays de la Loire), France"
2056,"    Angers (Pays de la Loire), France ","Vire (Basse-Normandie), France"
2057,"    Vire (Basse-Normandie), France ","Caen (Basse-Normandie), France"
2058,"    Caen (Basse-Normandie), France ","Paris (Ile-de-France), France"
2059,,
2060,,"Paris (Ile-de-France), France"
2061,"    Paris (Ile-de-France), France ","Lille (Nord-Pas-de-Calais), France"
2062,"    Lille (Nord-Pas-de-Calais), France ","Charleville (Champagne-Ardenne), France"
2063,"    Charleville (Champagne-Ardenne), France ","Metz (Lorraine), France"
2064,"    Metz (Lorraine), France ","Belfort (Franche-Comte), France"
2065,"    Belfort (Franche-Comte), France ","Genève (Genève), Switzerland"
2066,"    Genève (Genève), Switzerland ","Évian (Rhone-Alpes), France"
2067,"    Évian (Rhone-Alpes), France ","Aix-les-Bains (Rhone-Alpes), France"
2068,"    Aix-les-Bains (Rhone-Alpes), France ","Grenoble (Rhone-Alpes), France"
2069,"    Grenoble (Rhone-Alpes), France ","Gap (Provence-Alpes-Cote d'Azur), France"
2070,"    Gap (Provence-Alpes-Cote d'Azur), France ","Digne (Provence-Alpes-Cote d'Azur), France"
2071,"    Digne (Provence-Alpes-Cote d'Azur), France ","Nice (Provence-Alpes-Cote d'Azur), France"
2072,"    Nice (Provence-Alpes-Cote d'Azur), France ","Cannes (Provence-Alpes-Cote d'Azur), France"
2073,"    Cannes (Provence-Alpes-Cote d'Azur), France ","Marseille (Provence-Alpes-Cote d'Azur), France"
2074,"    Marseille (Provence-Alpes-Cote d'Azur), France ","Nîmes (Languedoc-Roussillon), France"
2075,"    Nîmes (Languedoc-Roussillon), France ","Montpellier (Languedoc-Roussillon), France"
2076,,
2077,"    Narbonne (Languedoc-Roussillon), France ","Perpignan (Languedoc-Roussillon), France"
2078,"    Perpignan (Languedoc-Roussillon), France ","Luchon (Midi-Pyrenees), France"
2079,"    Luchon (Midi-Pyrenees), France ","Pau (Aquitaine), France"
2080,"    Pau (Aquitaine), France ","Bordeaux (Aquitaine), France"
2081,"    Bordeaux (Aquitaine), France ","Rochefort (Poitou-Charentes), France"
2082,"    Rochefort (Poitou-Charentes), France ","La Rochelle (Poitou-Charentes), France"
2083,"    La Rochelle (Poitou-Charentes), France ","La Roche-sur-Yon (Pays de la Loire), France"
2084,"    La Roche-sur-Yon (Pays de la Loire), France ","Nantes (Pays de la Loire), France"
2085,"    Nantes (Pays de la Loire), France ","Vire (Basse-Normandie), France"
2086,"    Vire (Basse-Normandie), France ","Caen (Basse-Normandie), France"
2087,"    Caen (Basse-Normandie), France ","Paris (Ile-de-France), France"
2088,,"Paris (Ile-de-France), France"
2089,,"Paris (Ile-de-France), France"
2090,"    Paris (Ile-de-France), France ","Lille (Nord-Pas-de-Calais), France"
2091,"    Lille (Nord-Pas-de-Calais), France ","Charleville (Champagne-Ardenne), France"
2092,"    Charleville (Champagne-Ardenne), France ","Metz (Lorraine), France"
2093,"    Metz (Lorraine), France ","Belfort (Franche-Comte), France"
2094,"    Belfort (Franche-Comte), France ","Évian (Rhone-Alpes), France"
2095,"    Évian (Rhone-Alpes), France ","Aix-les-Bains (Rhone-Alpes), France"
2096,"    Aix-les-Bains (Rhone-Alpes), France ","Grenoble (Rhone-Alpes), France"
2097,"    Grenoble (Rhone-Alpes), France ","Gap (Provence-Alpes-Cote d'Azur), France"
2098,"    Gap (Provence-Alpes-Cote d'Azur), France ","Digne (Provence-Alpes-Cote d'Azur), France"
2099,"    Digne (Provence-Alpes-Cote d'Azur), France ","Nice (Provence-Alpes-Cote d'Azur), France"
2100,"    Nice (Provence-Alpes-Cote d'Azur), France ","Cannes (Provence-Alpes-Cote d'Azur), France"
2101,"    Cannes (Provence-Alpes-Cote d'Azur), France ","Marseille (Provence-Alpes-Cote d'Azur), France"
2102,"    Marseille (Provence-Alpes-Cote d'Azur), France ","Montpellier (Languedoc-Roussillon), France"
2103,"    Montpellier (Languedoc-Roussillon), France ","Perpignan (Languedoc-Roussillon), France"
2104,"    Perpignan (Languedoc-Roussillon), France ","Ax-les-Thermes (Midi-Pyrenees), France"
2105,"    Ax-les-Thermes (Midi-Pyrenees), France ","Luchon (Midi-Pyrenees), France"
2106,"    Luchon (Midi-Pyrenees), France ","Tarbes (Midi-Pyrenees), France"
2107,"    Tarbes (Midi-Pyrenees), France ","Pau (Aquitaine), France"
2108,"    Pau (Aquitaine), France ","Bordeaux (Aquitaine), France"
2109,"    Bordeaux (Aquitaine), France ","La Rochelle (Poitou-Charentes), France"
2110,"    La Rochelle (Poitou-Charentes), France ","La Roche-sur-Yon (Pays de la Loire), France"
2111,"    La Roche-sur-Yon (Pays de la Loire), France ","Nantes (Pays de la Loire), France"
2112,"    Nantes (Pays de la Loire), France ","Caen (Basse-Normandie), France"
2113,"    Caen (Basse-Normandie), France ","Paris (Ile-de-France), France"
2114,,"Paris (Ile-de-France), France"
2115,,"Paris (Ile-de-France), France"
2116,"    Paris (Ile-de-France), France ","Lille (Nord-Pas-de-Calais), France"
2117,"    Lille (Nord-Pas-de-Calais), France ","Charleville (Champagne-Ardenne), France"
2118,"    Charleville (Champagne-Ardenne), France ","Metz (Lorraine), France"
2119,"    Metz (Lorraine), France ","Belfort (Franche-Comte), France"
2120,"    Belfort (Franche-Comte), France ","Évian (Rhone-Alpes), France"
2121,"    Évian (Rhone-Alpes), France ","Aix-les-Bains (Rhone-Alpes), France"
2122,"    Aix-les-Bains (Rhone-Alpes), France ","Grenoble (Rhone-Alpes), France"
2123,"    Grenoble (Rhone-Alpes), France ","Gap (Provence-Alpes-Cote d'Azur), France"
2124,"    Gap (Provence-Alpes-Cote d'Azur), France ","Digne (Provence-Alpes-Cote d'Azur), France"
2125,"    Digne (Provence-Alpes-Cote d'Azur), France ","Nice (Provence-Alpes-Cote d'Azur), France"
2126,"    Nice (Provence-Alpes-Cote d'Azur), France ","Cannes (Provence-Alpes-Cote d'Azur), France"
2127,"    Cannes (Provence-Alpes-Cote d'Azur), France ","Marseille (Provence-Alpes-Cote d'Azur), France"
2128,"    Marseille (Provence-Alpes-Cote d'Azur), France ","Montpellier (Languedoc-Roussillon), France"
2129,"    Montpellier (Languedoc-Roussillon), France ","Perpignan (Languedoc-Roussillon), France"
2130,"    Perpignan (Languedoc-Roussillon), France ","Ax-les-Thermes (Midi-Pyrenees), France"
2131,"    Ax-les-Thermes (Midi-Pyrenees), France ","Luchon (Midi-Pyrenees), France"
2132,"    Luchon (Midi-Pyrenees), France ","Tarbes (Midi-Pyrenees), France"
2133,"    Tarbes (Midi-Pyrenees), France ","Pau (Aquitaine), France"
2134,"    Pau (Aquitaine), France ","Bordeaux (Aquitaine), France"
2135,"    Bordeaux (Aquitaine), France ","La Rochelle (Poitou-Charentes), France"
2136,"    La Rochelle (Poitou-Charentes), France ","Rennes (Bretagne), France"
2137,"    Rennes (Bretagne), France ","Caen (Basse-Normandie), France"
2138,"    Caen (Basse-Normandie), France ","Paris (Ile-de-France), France"
2139,,"Paris (Ile-de-France), France"
2140,,"Paris (Ile-de-France), France"
2141,"    Paris (Ile-de-France), France ","Caen (Basse-Normandie), France"
2142,"    Cannes (Provence-Alpes-Cote d'Azur), France ","Nantes (Pays de la Loire), France"
2143,"    Nantes (Pays de la Loire), France ","Bordeaux (Aquitaine), France"
2144,"    Bordeaux (Aquitaine), France ","Pau (Aquitaine), France"
2145,"    Pau (Aquitaine), France ","Luchon (Midi-Pyrenees), France"
2146,"    Luchon (Midi-Pyrenees), France ","Perpignan (Languedoc-Roussillon), France"
2147,"    Perpignan (Languedoc-Roussillon), France ","Montpellier (Languedoc-Roussillon), France"
2148,"    Montpellier (Languedoc-Roussillon), France ","Marseille (Provence-Alpes-Cote d'Azur), France"
2149,"    Marseille (Provence-Alpes-Cote d'Azur), France ","Cannes (Provence-Alpes-Cote d'Azur), France"
2150,"    Cannes (Provence-Alpes-Cote d'Azur), France ","Nice (Provence-Alpes-Cote d'Azur), France"
2151,"    Nice (Provence-Alpes-Cote d'Azur), France ","Gap (Provence-Alpes-Cote d'Azur), France"
2152,"    Gap (Provence-Alpes-Cote d'Azur), France ","Grenoble (Rhone-Alpes), France"
2153,"    Grenoble (Rhone-Alpes), France ","Aix-les-Bains (Rhone-Alpes), France"
2154,"    Aix-les-Bains (Rhone-Alpes), France ","Évian (Rhone-Alpes), France"
2155,"    Évian (Rhone-Alpes), France ","Belfort (Franche-Comte), France"
2156,"    Belfort (Franche-Comte), France ","Strasbourg (Alsace), France"
2157,"    Strasbourg (Alsace), France ","Metz (Lorraine), France"
2158,"    Metz (Lorraine), France ","Charleville (Champagne-Ardenne), France"
2159,"    Charleville (Champagne-Ardenne), France ","Malo-les-Bains (Nord-Pas-de-Calais), France"
2160,"    Malo-les-Bains (Nord-Pas-de-Calais), France ","Amiens (Picardie), France"
2161,"    Amiens (Picardie), France ","Paris (Ile-de-France), France"
2162,,
2163,,"Paris (Ile-de-France), France"
2164,"    Paris (Ile-de-France), France ","Caen (Basse-Normandie), France"
2165,"    Caen (Basse-Normandie), France ","Dinan (Bretagne), France"
2166,"    Dinan (Bretagne), France ","Brest (Bretagne), France"
2167,"    Brest (Bretagne), France ","Vannes (Bretagne), France"
2168,"    Vannes (Bretagne), France ","Les Sables-d'Olonne (Pays de la Loire), France"
2169,"    Les Sables-d'Olonne (Pays de la Loire), France ","Bordeaux (Aquitaine), France"
2170,"    Bordeaux (Aquitaine), France ","Bayonne (Aquitaine), France"
2171,"    Bayonne (Aquitaine), France ","Pau (Aquitaine), France"
2172,"    Pau (Aquitaine), France ","Luchon (Midi-Pyrenees), France"
2173,"    Luchon (Midi-Pyrenees), France ","Perpignan (Languedoc-Roussillon), France"
2174,"    Perpignan (Languedoc-Roussillon), France ","Montpellier (Languedoc-Roussillon), France"
2175,"    Montpellier (Languedoc-Roussillon), France ","Marseille (Provence-Alpes-Cote d'Azur), France"
2176,"    Marseille (Provence-Alpes-Cote d'Azur), France ","Cannes (Provence-Alpes-Cote d'Azur), France"
2177,"    Cannes (Provence-Alpes-Cote d'Azur), France ","Nice (Provence-Alpes-Cote d'Azur), France"
2178,"    Nice (Provence-Alpes-Cote d'Azur), France ","Gap (Provence-Alpes-Cote d'Azur), France"
2179,"    Gap (Provence-Alpes-Cote d'Azur), France ","Grenoble (Rhone-Alpes), France"
2180,"    Grenoble (Rhone-Alpes), France ","Aix-les-Bains (Rhone-Alpes), France"
2181,"    Aix-les-Bains (Rhone-Alpes), France ","Évian (Rhone-Alpes), France"
2182,"    Évian (Rhone-Alpes), France ","Belfort (Franche-Comte), France"
2183,"    Belfort (Franche-Comte), France ","Colmar (Alsace), France"
2184,"    Colmar (Alsace), France ","Metz (Lorraine), France"
2185,"    Metz (Lorraine), France ","Charleville (Champagne-Ardenne), France"
2186,"    Charleville (Champagne-Ardenne), France ","Malo-les-Bains (Nord-Pas-de-Calais), France"
2187,"    Malo-les-Bains (Nord-Pas-de-Calais), France ","Paris (Ile-de-France), France"
2188,,"Paris (Ile-de-France), France"
2189,,
2190,"    Paris (Ile-de-France), France ","Caen (Basse-Normandie), France"
2191,"    Caen (Basse-Normandie), France ","Dinan (Bretagne), France"
2192,"    Dinan (Bretagne), France ","Brest (Bretagne), France"
2193,"    Brest (Bretagne), France ","Vannes (Bretagne), France"
2194,"    Vannes (Bretagne), France ","Les Sables-d'Olonne (Pays de la Loire), France"
2195,"    Les Sables-d'Olonne (Pays de la Loire), France ","Bordeaux (Aquitaine), France"
2196,"    Bordeaux (Aquitaine), France ","Hendaye (Aquitaine), France"
2197,"    Hendaye (Aquitaine), France ","Pau (Aquitaine), France"
2198,"    Pau (Aquitaine), France ","Luchon (Midi-Pyrenees), France"
2199,"    Luchon (Midi-Pyrenees), France ","Perpignan (Languedoc-Roussillon), France"
2200,"    Perpignan (Languedoc-Roussillon), France ","Montpellier (Languedoc-Roussillon), France"
2201,"    Montpellier (Languedoc-Roussillon), France ","Marseille (Provence-Alpes-Cote d'Azur), France"
2202,"    Marseille (Provence-Alpes-Cote d'Azur), France ","Cannes (Provence-Alpes-Cote d'Azur), France"
2203,"    Cannes (Provence-Alpes-Cote d'Azur), France ","Nice (Provence-Alpes-Cote d'Azur), France"
2204,"    Nice (Provence-Alpes-Cote d'Azur), France ","Grenoble (Rhone-Alpes), France"
2205,"    Grenoble (Rhone-Alpes), France ","Évian (Rhone-Alpes), France"
2206,"    Évian (Rhone-Alpes), France ","Belfort (Franche-Comte), France"
2207,"    Belfort (Franche-Comte), France ","Metz (Lorraine), France"
2208,"    Metz (Lorraine), France ","Charleville (Champagne-Ardenne), France"
2209,"    Charleville (Champagne-Ardenne), France ","Malo-les-Bains (Nord-Pas-de-Calais), France"
2210,"    Malo-les-Bains (Nord-Pas-de-Calais), France ","Paris (Ile-de-France), France"
2211,,"Paris (Ile-de-France), France"
2212,,
2213,"    Paris (Ile-de-France), France ","Caen (Basse-Normandie), France"
2214,"    Caen (Basse-Normandie), France ","Cherbourg (Basse-Normandie), France"
2215,"    Cherbourg (Basse-Normandie), France ","Dinan (Bretagne), France"
2216,"    Dinan (Bretagne), France ","Brest (Bretagne), France"
2217,"    Brest (Bretagne), France ","Vannes (Bretagne), France"
2218,"    Vannes (Bretagne), France ","Les Sables-d'Olonne (Pays de la Loire), France"
2219,"    Les Sables-d'Olonne (Pays de la Loire), France ","Bordeaux (Aquitaine), France"
2220,"    Bordeaux (Aquitaine), France ","Bayonne (Aquitaine), France"
2221,"    Bayonne (Aquitaine), France ","Luchon (Midi-Pyrenees), France"
2222,"    Luchon (Midi-Pyrenees), France ","Perpignan (Languedoc-Roussillon), France"
2223,"    Perpignan (Languedoc-Roussillon), France ","Marseille (Provence-Alpes-Cote d'Azur), France"
2224,"    Marseille (Provence-Alpes-Cote d'Azur), France ","Cannes (Provence-Alpes-Cote d'Azur), France"
2225,"    Cannes (Provence-Alpes-Cote d'Azur), France ","Nice (Provence-Alpes-Cote d'Azur), France"
2226,"    Nice (Provence-Alpes-Cote d'Azur), France ","Grenoble (Rhone-Alpes), France"
2227,"    Grenoble (Rhone-Alpes), France ","Évian (Rhone-Alpes), France"
2228,"    Évian (Rhone-Alpes), France ","Belfort (Franche-Comte), France"
2229,"    Belfort (Franche-Comte), France ","Strasbourg (Alsace), France"
2230,"    Strasbourg (Alsace), France ","Metz (Lorraine), France"
2231,"    Metz (Lorraine), France ","Charleville (Champagne-Ardenne), France"
2232,"    Charleville (Champagne-Ardenne), France ","Malo-les-Bains (Nord-Pas-de-Calais), France"
2233,"    Malo-les-Bains (Nord-Pas-de-Calais), France ","Dieppe (Haute-Normandie), France"
2234,"    Dieppe (Haute-Normandie), France ","Paris (Ile-de-France), France"
2235,,"Paris (Ile-de-France), France"
2236,,
2237,"    Paris (Ile-de-France), France ","Caen (Basse-Normandie), France"
2238,"    Caen (Basse-Normandie), France ","Cherbourg (Basse-Normandie), France"
2239,"    Cherbourg (Basse-Normandie), France ","Dinan (Bretagne), France"
2240,"    Dinan (Bretagne), France ","Brest (Bretagne), France"
2241,"    Brest (Bretagne), France ","Vannes (Bretagne), France"
2242,"    Vannes (Bretagne), France ","Les Sables-d'Olonne (Pays de la Loire), France"
2243,"    Les Sables-d'Olonne (Pays de la Loire), France ","Bordeaux (Aquitaine), France"
2244,"    Bordeaux (Aquitaine), France ","Hendaye (Aquitaine), France"
2245,"    Hendaye (Aquitaine), France ","Luchon (Midi-Pyrenees), France"
2246,"    Luchon (Midi-Pyrenees), France ","Perpignan (Languedoc-Roussillon), France"
2247,"    Perpignan (Languedoc-Roussillon), France ","Marseille (Provence-Alpes-Cote d'Azur), France"
2248,"    Marseille (Provence-Alpes-Cote d'Azur), France ","Nice (Provence-Alpes-Cote d'Azur), France"
2249,"    Nice (Provence-Alpes-Cote d'Azur), France ","Grenoble (Rhone-Alpes), France"
2250,"    Grenoble (Rhone-Alpes), France ","Évian (Rhone-Alpes), France"
2251,"    Évian (Rhone-Alpes), France ","Pontarlier (Franche-Comte), France"
2252,"    Pontarlier (Franche-Comte), France ","Belfort (Franche-Comte), France"
2253,"    Belfort (Franche-Comte), France ","Strasbourg (Alsace), France"
2254,"    Strasbourg (Alsace), France ","Metz (Lorraine), France"
2255,"    Metz (Lorraine), France ","Charleville (Champagne-Ardenne), France"
2256,"    Charleville (Champagne-Ardenne), France ","Malo-les-Bains (Nord-Pas-de-Calais), France"
2257,"    Malo-les-Bains (Nord-Pas-de-Calais), France ","Dieppe (Haute-Normandie), France"
2258,"    Dieppe (Haute-Normandie), France ","Paris (Ile-de-France), France"
2259,,"Paris (Ile-de-France), France"
2260,,
2261,"    Paris (Ile-de-France), France ","Dieppe (Haute-Normandie), France"
2262,"    Dieppe (Haute-Normandie), France ","Le Havre (Haute-Normandie), France"
2263,"    Le Havre (Haute-Normandie), France ","Caen (Basse-Normandie), France"
2264,"    Caen (Basse-Normandie), France ","Cherbourg (Basse-Normandie), France"
2265,"    Cherbourg (Basse-Normandie), France ","Dinan (Bretagne), France"
2266,"    Dinan (Bretagne), France ","Brest (Bretagne), France"
2267,"    Brest (Bretagne), France ","Vannes (Bretagne), France"
2268,"    Vannes (Bretagne), France ","Les Sables-d'Olonne (Pays de la Loire), France"
2269,"    Les Sables-d'Olonne (Pays de la Loire), France ","Bordeaux (Aquitaine), France"
2270,"    Bordeaux (Aquitaine), France ","Bayonne (Aquitaine), France"
2271,"    Bayonne (Aquitaine), France ","Luchon (Midi-Pyrenees), France"
2272,"    Luchon (Midi-Pyrenees), France ","Perpignan (Languedoc-Roussillon), France"
2273,"    Perpignan (Languedoc-Roussillon), France ","Marseille (Provence-Alpes-Cote d'Azur), France"
2274,"    Marseille (Provence-Alpes-Cote d'Azur), France ","Toulon (Champagne-Ardenne), France"
2275,"    Toulon (Champagne-Ardenne), France ","Nice (Provence-Alpes-Cote d'Azur), France"
2276,"    Nice (Provence-Alpes-Cote d'Azur), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
2277,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Évian (Rhone-Alpes), France"
2278,"    Évian (Rhone-Alpes), France ","Pontarlier (Franche-Comte), France"
2279,"    Pontailler (Bourgogne), France ","Belfort (Franche-Comte), France"
2280,"    Belfort (Franche-Comte), France ","Strasbourg (Alsace), France"
2281,"    Strasbourg (Alsace), France ","Metz (Lorraine), France"
2282,"    Metz (Lorraine), France ","Charleville (Champagne-Ardenne), France"
2283,"    Charleville (Champagne-Ardenne), France ","Dunkerque (Nord-Pas-de-Calais), France"
2284,"    Dunkerque (Nord-Pas-de-Calais), France ","Paris (Ile-de-France), France"
2285,,
2286,,"Paris (Ile-de-France), France"
2287,"    Évian (Rhone-Alpes), France ","Mulhouse (Alsace), France"
2288,"    Mulhouse (Alsace), France ","Metz (Lorraine), France"
2289,"    Metz (Lorraine), France ","Dunkerque (Nord-Pas-de-Calais), France"
2290,"    Dunkerque (Nord-Pas-de-Calais), France ","Le Havre (Haute-Normandie), France"
2291,"    Le Havre (Haute-Normandie), France ","Cherbourg (Basse-Normandie), France"
2292,"    Cherbourg (Basse-Normandie), France ","Brest (Bretagne), France"
2293,"    Brest (Bretagne), France ","Les Sables-d'Olonne (Pays de la Loire), France"
2294,"    Les Sables-d'Olonne (Pays de la Loire), France ","Bordeaux (Aquitaine), France"
2295,"    Bordeaux (Aquitaine), France ","Bayonne (Aquitaine), France"
2296,"    Bayonne (Aquitaine), France ","Luchon (Midi-Pyrenees), France"
2297,"    Luchon (Midi-Pyrenees), France ","Perpignan (Languedoc-Roussillon), France"
2298,"    Perpignan (Languedoc-Roussillon), France ","Toulon (Champagne-Ardenne), France"
2299,"    Toulon (Champagne-Ardenne), France ","Nice (Provence-Alpes-Cote d'Azur), France"
2300,"    Nice (Provence-Alpes-Cote d'Azur), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
2301,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Évian (Rhone-Alpes), France"
2302,"    Évian (Rhone-Alpes), France ","Dijon (Bourgogne), France"
2303,"    Dijon (Bourgogne), France ","Paris (Ile-de-France), France"
2304,,
2305,,"Paris (Ile-de-France), France"
2306,"    Paris (Ile-de-France), France ","Le Havre (Haute-Normandie), France"
2307,"    Le Havre (Haute-Normandie), France ","Cherbourg (Basse-Normandie), France"
2308,"    Cherbourg (Basse-Normandie), France ","Brest (Bretagne), France"
2309,"    Brest (Bretagne), France ","Vannes (Bretagne), France"
2310,"    Vannes (Bretagne), France ","Les Sables-d'Olonne (Pays de la Loire), France"
2311,"    Les Sables-d'Olonne (Pays de la Loire), France ","Bordeaux (Aquitaine), France"
2312,"    Bordeaux (Aquitaine), France ","Bayonne (Aquitaine), France"
2313,"    Bayonne (Aquitaine), France ","Luchon (Midi-Pyrenees), France"
2314,"    Luchon (Midi-Pyrenees), France ","Perpignan (Languedoc-Roussillon), France"
2315,"    Perpignan (Languedoc-Roussillon), France ","Nîmes (Languedoc-Roussillon), France"
2316,"    Nîmes (Languedoc-Roussillon), France ","Toulon (Champagne-Ardenne), France"
2317,"    Toulon (Champagne-Ardenne), France ","Nice (Provence-Alpes-Cote d'Azur), France"
2318,"    Nice (Provence-Alpes-Cote d'Azur), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
2319,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Évian (Rhone-Alpes), France"
2320,"    Évian (Rhone-Alpes), France ","Mulhouse (Alsace), France"
2321,"    Mulhouse (Alsace), France ","Metz (Lorraine), France"
2322,"    Metz (Lorraine), France ","Dunkerque (Nord-Pas-de-Calais), France"
2323,"    Dunkerque (Nord-Pas-de-Calais), France ","Paris (Ile-de-France), France"
2324,,
2325,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France"
2326,"    Paris (Ile-de-France), France ","Le Havre (Haute-Normandie), France"
2327,"    Le Havre (Haute-Normandie), France ","Cherbourg (Basse-Normandie), France"
2328,"    Cherbourg (Basse-Normandie), France ","Brest (Bretagne), France"
2329,"    Brest (Bretagne), France ","Les Sables-d'Olonne (Pays de la Loire), France"
2330,"    Les Sables-d'Olonne (Pays de la Loire), France ","Bayonne (Aquitaine), France"
2331,"    Bayonne (Aquitaine), France ","Luchon (Midi-Pyrenees), France"
2332,"    Luchon (Midi-Pyrenees), France ","Perpignan (Languedoc-Roussillon), France"
2333,"    Perpignan (Languedoc-Roussillon), France ","Toulon (Champagne-Ardenne), France"
2334,"    Toulon (Champagne-Ardenne), France ","Nice (Provence-Alpes-Cote d'Azur), France"
2335,"    Nice (Provence-Alpes-Cote d'Azur), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
2336,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Gex (Rhone-Alpes), France"
2337,"    Gex (Rhone-Alpes), France ","Strasbourg (Alsace), France"
2338,"    Strasbourg (Alsace), France ","Metz (Lorraine), France"
2339,"    Metz (Lorraine), France ","Dunkerque (Nord-Pas-de-Calais), France"
2340,"    Dunkerque (Nord-Pas-de-Calais), France ","Paris (Ile-de-France), France"
2341,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France"
2342,,
2343,"    Paris (Ile-de-France), France ","Le Havre (Haute-Normandie), France"
