,Date
1001,1981-07-15
1002,1981-07-16
1003,1981-07-17
1004,1981-07-18
1005,1981-07-19
1006,1981-07-19
1007,1981-07-19
1008,1981-07-19
1009,1981-07-19
1010,1980-06-26
1011,1980-06-27
1012,1980-06-27
1013,1980-06-28
1014,1980-06-29
1015,1980-06-30
1016,1980-01-07
1017,1980-02-07
1018,1980-03-07
1019,1980-03-07
1020,1980-04-07
1021,1980-06-07
1022,1980-07-07
1023,1980-08-07
1024,1980-09-07
1025,1980-10-07
1026,1980-11-07
1027,1980-12-07
1028,1980-07-13
1029,1980-07-14
1030,1980-07-16
1031,1980-07-17
1032,1980-07-18
1033,1980-07-19
1034,1980-07-20
1035,1980-07-20
1036,1980-07-20
1037,1980-07-20
1038,1980-07-20
1039,1979-06-27
1040,1979-06-28
1041,1979-06-29
1042,1979-06-30
1043,1979-01-07
1044,1979-02-07
1045,1979-03-07
1046,1979-04-07
1047,1979-05-07
1048,1979-06-07
1049,1979-07-07
1050,1979-08-07
1051,1979-09-07
1052,1979-10-07
1053,1979-12-07
1054,1979-07-13
1055,1979-07-14
1056,1979-07-15
1057,1979-07-16
1058,1979-07-17
1059,1979-07-18
1060,1979-07-19
1061,1979-07-20
1062,1979-07-21
1063,1979-07-22
1064,1979-07-22
1065,1979-07-22
1066,1979-07-22
1067,1979-07-22
1068,1978-06-29
1069,1978-06-30
1070,1978-06-30
1071,1978-01-07
1072,1978-02-07
1073,1978-03-07
1074,1978-04-07
1075,1978-05-07
1076,1978-06-07
1077,1978-07-07
1078,1978-08-07
1079,1978-10-07
1080,1978-11-07
1081,1978-12-07
1082,1978-12-07
1083,1978-07-13
1084,1978-07-14
1085,1978-07-15
1086,1978-07-16
1087,1978-07-18
1088,1978-07-19
1089,1978-07-20
1090,1978-07-21
1091,1978-07-22
1092,1978-07-23
1093,1978-07-23
1094,1978-07-23
1095,1978-07-23
1096,1978-07-23
1097,1977-06-30
1098,1977-01-07
1099,1977-02-07
1100,1977-03-07
1101,1977-04-07
1102,1977-05-07
1103,1977-05-07
1104,1977-07-07
1105,1977-08-07
1106,1977-08-07
1107,1977-09-07
1108,1977-10-07
1109,1977-11-07
1110,1977-12-07
1111,1977-07-13
1112,1977-07-15
1113,1977-07-15
1114,1977-07-16
1115,1977-07-17
1116,1977-07-17
1117,1977-07-18
1118,1977-07-19
1119,1977-07-20
1120,1977-07-21
1121,1977-07-22
1122,1977-07-23
1123,1977-07-24
1124,1977-07-24
1125,1977-07-24
1126,1977-07-24
1127,1977-07-24
1128,1977-07-24
1129,1976-06-24
1130,1976-06-25
1131,1976-06-26
1132,1976-06-27
1133,1976-06-28
1134,1976-06-29
1135,1976-06-29
1136,1976-06-30
1137,1976-01-07
1138,1976-02-07
1139,1976-04-07
1140,1976-05-07
1141,1976-06-07
1142,1976-08-07
1143,1976-09-07
1144,1976-10-07
1145,1976-11-07
1146,1976-12-07
1147,1976-07-13
1148,1976-07-14
1149,1976-07-14
1150,1976-07-14
1151,1976-07-15
1152,1976-07-16
1153,1976-07-17
1154,1976-07-18
1155,1976-07-18
1156,1976-07-18
1157,1976-07-18
1158,1976-07-18
1159,1976-07-18
1160,1975-06-26
